data_copa,time_a,time_b,placar,gols_do_time_da_casa,gols_do_time_da_fora,saldo_gols_do_time_da_casa,saldo_gols_do_time_da_fora,teve_prorrogacao,foi_para_penaltis,placar_penaltis,gols_do_time_da_casa_penaltis,gols_do_time_da_fora_penaltis,time_da_casa_vencedor,time_da_fora_vencedor,empatou,sede,vencedor_copa,sede_vencedor,qtd_times_parcticipantes
1962,Yugoslavia,Colombia,5Ð0,5,0,5,-5,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Italy,Switzerland,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Mexico,Czechoslovakia,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,England,Bulgaria,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,Chile,Brazil,0,16
1962,Brazil,England,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Chile,Soviet Union,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Czechoslovakia,Hungary,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Yugoslavia,West Germany,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Brazil,Chile,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Czechoslovakia,Yugoslavia,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Chile,Yugoslavia,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1962,Brazil,Czechoslovakia,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Chile,Brazil,0,16
1966,England,Uruguay,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,England,England,1,16
1966,West Germany,Switzerland,5Ð0,5,0,5,-5,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Brazil,Bulgaria,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Soviet Union,North Korea,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,France,Mexico,1Ð1,1,1,0,0,0,0,0-0,0,0,0,0,1,England,England,1,16
1966,Argentina,Spain,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Portugal,Hungary,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Italy,Chile,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Uruguay,France,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Spain,Switzerland,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Hungary,Brazil,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Chile,North Korea,1Ð1,1,1,0,0,0,0,0-0,0,0,0,0,1,England,England,1,16
1966,Argentina,West Germany,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,England,England,1,16
1966,Portugal,Bulgaria,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Soviet Union,Italy,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,England,Mexico,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Mexico,Uruguay,0Ð0,0,0,0,0,0,0,0-0,0,0,0,0,1,England,England,1,16
1966,Argentina,Switzerland,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Portugal,Brazil,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,North Korea,Italy,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,England,France,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,West Germany,Spain,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,England,England,1,16
1966,Hungary,Bulgaria,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,England,England,1,16
